name,city,statenam,state,year,rincpc,econgrow,unemp,citypop,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,sworn,civil,elecyear,governor,term2,term3,termlim,mayor,murder,rape,robbery,assault,burglary,larceny,auto
atlanta,2,ga,10,1979,10.48209381,-0.008693695,0.05091998,423103,0.074121177,0.081888437,0.087025464,0.090258598,0.09264195,0.096376061,65.08996582,21.83999634,640.4956055,163.9117432,0.725999832,0.263765561,0.078231542,0,0,0,0,1,0,0.054596635,0.155044989,1.226415317,1.09642333,3.807819845,6.481636859,1.057425733
atlanta,2,ga,10,1980,10.13106537,-0.03406167,0.063999951,422474,0.072454333,0.080076218,0.085653186,0.090254188,0.092949748,0.097527504,66.59997559,21.8999939,577.6699219,156.5533447,0.823999882,0.28948527,0.079768222,0,0,0,0,1,0,0.047576892,0.158826342,1.120305628,1.294754233,3.979416485,6.509749712,0.947987332
atlanta,2,ga,10,1981,10.23577881,0.010283232,0.063999951,435626,0.073296845,0.079107821,0.083352447,0.087806344,0.091301501,0.098017216,66.64996338,22.04998779,584.1582031,180.4179688,0.90899992,0.297043794,0.080803258,1,0,0,0,1,1,0.041778957,0.147833233,1.034603077,1.204244007,4.007566123,6.649281723,0.818592095
atlanta,2,ga,10,1982,10.22098541,-0.001446486,0.078170002,441103,0.074087918,0.078198612,0.081192136,0.085507929,0.089753866,0.098477006,66.69995117,22.19999695,566.9702148,170.2376709,0.964999676,0.303783923,0.064157351,0,1,0,0,1,0,0.034459072,0.13896981,0.906590978,1.297202694,3.4309447,6.30646357,0.799359787
atlanta,2,ga,10,1983,10.71198273,0.046919823,0.074919999,448635,0.074832201,0.077343225,0.079159856,0.083345652,0.088297904,0.098909616,66.75,22.34999084,581.6499023,179.0634766,0.995999813,0.293111327,0.064194724,0,0,0,0,0,0,0.031428667,0.137974077,0.791734929,1.117612313,2.786452238,5.25282245,0.673153009
atlanta,2,ga,10,1984,11.3445282,0.057372332,0.060249984,442951,0.075533569,0.076537073,0.077244461,0.081307828,0.086925745,0.099317253,66.79998779,22.5,589.0048828,170.5924072,1.038999557,0.28806798,0.06479272,0,0,0,0,0,0,0.030477412,0.142679439,0.909581421,1.29337105,2.4411278,5.443039975,0.718815399
atlanta,2,ga,10,1985,11.72490692,0.032979727,0.065419972,436214,0.076195776,0.075776041,0.075436234,0.07938391,0.085630298,0.09970212,66.84997559,22.6499939,631.7089844,160.6488037,1.07599926,0.292975466,0.066251886,1,0,0,0,0,1,0.033240565,0.156574525,1.098543375,1.373179219,2.794958438,6.733392326,0.992861302
atlanta,2,ga,10,1986,12.31894684,0.049423456,0.059249997,445617,0.076821923,0.075056374,0.073726356,0.077564716,0.084405363,0.100066066,66.89996338,22.79998779,695.1469727,174.6464844,1.095999718,0.297564949,0.068444426,0,1,0,0,0,0,0.04173988,0.152821818,1.218086384,1.541009432,3.019184636,6.817513694,1.362605107
atlanta,2,ga,10,1987,12.59436798,0.022110939,0.054749995,429953,0.07741493,0.074374795,0.072107017,0.075841844,0.083245277,0.100410759,66.94995117,22.94999695,738.65625,184.1693115,1.13599968,0.313057474,0.070705403,0,0,0,0,1,0,0.048144797,0.147923145,1.186176163,1.616455752,3.471774822,7.340104616,1.747167714
atlanta,2,ga,10,1988,12.91123962,0.024848461,0.057999998,444995,0.0779773,0.073728442,0.070571303,0.074207902,0.082145095,0.100737631,67,23.09999084,770.2319336,220.8282471,1.182999611,0.313486668,0.069438982,0,0,0,0,1,0,0.048764593,0.162024292,1.342037551,2.022719356,3.495769615,8.383464983,2.093057225
